index,dose,year,fold
1238,1pM,2013,validate
1239,1pM,2013,train
1240,1pM,2013,test
1241,1pM,2013,train
1242,1pM,2013,train
1243,1pM,2013,train
1244,1pM,2013,train
1245,1pM,2013,test
1246,1pM,2013,train
1247,1pM,2013,train
1248,1pM,2013,train
1249,1pM,2013,train
1250,1pM,2013,train
1251,1pM,2013,train
1252,1pM,2013,train
1253,1pM,2013,test
1254,1pM,2013,train
1255,1pM,2013,train
1256,1pM,2013,train
1257,1pM,2013,validate
1258,1pM,2013,test
1259,1pM,2013,train
1260,1pM,2013,train
1261,1pM,2013,validate
1262,1pM,2013,validate
1263,1pM,2013,train
1264,1pM,2013,train
1265,1pM,2013,train
1266,1pM,2013,train
1267,1pM,2013,train
1268,1pM,2013,train
1269,1pM,2013,train
1270,1pM,2013,validate
1271,1pM,2013,train
1272,1pM,2013,train
1273,1pM,2013,test
1274,1pM,2013,train
1275,1pM,2013,train
1276,1pM,2013,train
1277,1pM,2013,train
1278,1pM,2013,train
1279,1pM,2013,test
1280,1pM,2013,train
1281,1pM,2013,train
1282,1pM,2013,train
1283,1pM,2013,train
1284,1pM,2013,train
1285,1pM,2013,train
1286,1pM,2013,train
1287,1pM,2013,train
1288,1pM,2013,train
1289,1pM,2013,train
1290,1pM,2013,validate
1291,1pM,2013,test
1292,1pM,2013,train
1293,1pM,2013,train
1294,1pM,2013,train
1295,1pM,2013,train
1296,1pM,2013,train
1297,1pM,2013,train
1298,1pM,2013,train
1299,1pM,2013,train
1300,1pM,2013,test
1301,1pM,2013,train
1302,1pM,2013,train
1303,1pM,2013,train
1304,1pM,2013,train
1305,1pM,2013,train
1306,1pM,2013,train
1307,1pM,2013,train
1308,1pM,2013,test
1309,1pM,2013,validate
1310,1pM,2013,validate
1311,1pM,2013,train
1312,1pM,2013,train
1313,1pM,2013,test
1314,1pM,2013,test
1315,1pM,2013,train
1316,1pM,2013,train
1317,1pM,2013,train
1318,1pM,2013,train
1319,1pM,2013,train
1320,1pM,2013,validate
1321,1pM,2013,train
1322,1pM,2013,train
1323,1pM,2013,train
1324,1pM,2013,train
1325,1pM,2013,train
1326,1pM,2013,train
1327,1pM,2013,train
1328,1pM,2013,train
1329,1pM,2013,train
1330,1pM,2013,train
1331,1pM,2013,train
1332,1pM,2013,train
1333,1pM,2013,train
1334,1pM,2013,train
1335,1pM,2013,train
1336,1pM,2013,test
1337,1pM,2013,train
1338,1pM,2013,test
1339,1pM,2013,train
1340,1pM,2013,train
1341,1pM,2013,train
1342,1pM,2013,validate
1343,1pM,2013,train
1344,1pM,2013,train
1345,1pM,2013,validate
1346,1pM,2013,validate
1347,1pM,2013,train
1348,1pM,2013,train
1349,1pM,2013,train
1350,1pM,2013,train
1351,1pM,2013,validate
1352,1pM,2013,train
1353,1pM,2013,train
1354,1pM,2013,validate
1355,1pM,2013,train
1356,1pM,2013,train
1357,1pM,2013,train
1358,1pM,2013,test
1359,1pM,2013,train
1360,1pM,2013,train
1361,1pM,2013,train
1362,1pM,2013,train
1363,1pM,2013,train
1364,1pM,2013,validate
1365,1pM,2013,train
1366,1pM,2013,validate
1367,1pM,2013,train
1368,1pM,2013,train
1369,1pM,2013,train
1370,1pM,2013,train
1371,1pM,2013,test
1372,1pM,2013,validate
1373,1pM,2013,test
1374,1pM,2013,train
1375,1pM,2013,train
1376,1pM,2013,train
1377,1pM,2013,test
1378,1pM,2013,train
1379,1pM,2013,train
1380,1pM,2013,train
1381,1pM,2013,validate
1382,1pM,2013,validate
1383,1pM,2013,train
1384,1pM,2013,train
1385,1pM,2013,train
1386,1pM,2013,train
1387,1pM,2013,train
1388,1pM,2013,train
1389,1pM,2013,train
1390,1pM,2013,train
1391,1pM,2013,train
1392,1pM,2013,train
1393,1pM,2013,train
1394,1pM,2013,validate
1395,1pM,2013,train
1396,1pM,2013,train
1397,1pM,2013,train
1398,1pM,2013,train
1399,1pM,2013,train
1400,1pM,2013,train
1401,1pM,2013,train
1402,1pM,2013,validate
1403,1pM,2013,train
1404,1pM,2013,train
1405,1pM,2013,train
1406,1pM,2013,train
1407,1pM,2013,train
1408,1pM,2013,train
1409,1pM,2013,train
1410,1pM,2013,train
1411,1pM,2013,train
1412,1pM,2013,validate
1413,1pM,2013,train
1414,1pM,2013,train
1415,1pM,2013,train
1416,1pM,2013,train
1417,1pM,2013,train
1418,1pM,2013,train
1419,1pM,2013,train
1420,1pM,2013,train
1421,1pM,2013,validate
1422,1pM,2013,train
1423,1pM,2013,test
1424,1pM,2013,train
1425,1pM,2013,train
1426,1pM,2013,train
1427,1pM,2013,validate
1428,1pM,2013,train
1429,1pM,2013,train
1430,1pM,2013,train
1431,1pM,2013,train
1432,1pM,2013,train
1433,1pM,2013,train
1434,1pM,2013,validate
1435,1pM,2013,train
1436,1pM,2013,train
1437,1pM,2013,train
1438,1pM,2013,train
1439,1pM,2013,train
1440,1pM,2013,train
1441,1pM,2013,train
1442,1pM,2013,validate
1443,1pM,2013,train
1444,1pM,2013,train
1445,1pM,2013,train
1446,1pM,2013,train
1447,1pM,2013,train
1448,1pM,2013,train
1449,1pM,2013,train
1450,1pM,2013,train
1451,1pM,2013,train
1452,1pM,2013,train
1453,1pM,2013,train
1454,1pM,2013,test
1455,1pM,2013,train
1456,1pM,2013,validate
1457,1pM,2013,train
1458,1pM,2013,train
1459,1pM,2013,train
1460,1pM,2013,train
1461,1pM,2013,test
1462,1pM,2013,train
1463,1pM,2013,train
1464,1pM,2013,train
1465,1pM,2013,train
1466,1pM,2013,train
1467,1pM,2013,test
1468,1pM,2013,train
1469,1pM,2013,test
1470,1pM,2013,train
1471,1pM,2013,train
1472,1pM,2013,train
1473,1pM,2013,test
1474,1pM,2013,validate
1475,1pM,2013,train
1476,1pM,2013,test
1477,1pM,2013,train
1478,1pM,2013,train
1479,1pM,2013,train
1480,1pM,2013,test
1481,1pM,2013,test
1482,1pM,2013,test
1483,1pM,2013,train
1484,1pM,2013,train
1485,1pM,2013,train
1486,1pM,2013,train
1487,25pM,2013,train
1488,25pM,2013,train
1489,25pM,2013,train
1490,25pM,2013,train
1491,25pM,2013,train
1492,25pM,2013,train
1493,25pM,2013,train
1494,25pM,2013,train
1495,25pM,2013,test
1496,25pM,2013,train
1497,25pM,2013,train
1498,25pM,2013,train
1499,25pM,2013,train
1500,25pM,2013,train
1501,25pM,2013,train
1502,25pM,2013,train
1503,25pM,2013,train
1504,25pM,2013,train
1505,25pM,2013,train
1506,25pM,2013,train
1507,25pM,2013,train
1508,25pM,2013,train
1509,25pM,2013,train
1510,25pM,2013,train
1511,25pM,2013,train
1512,25pM,2013,train
1513,25pM,2013,train
1514,25pM,2013,validate
1515,25pM,2013,train
1516,25pM,2013,test
1517,25pM,2013,train
1518,25pM,2013,train
1519,25pM,2013,train
1520,25pM,2013,train
1521,25pM,2013,train
1522,25pM,2013,train
1523,25pM,2013,train
1524,25pM,2013,train
1525,25pM,2013,test
1526,25pM,2013,train
1527,25pM,2013,train
1528,25pM,2013,train
1529,25pM,2013,train
1530,25pM,2013,train
1531,25pM,2013,train
1532,25pM,2013,validate
1533,25pM,2013,train
1534,25pM,2013,test
1535,25pM,2013,train
1536,25pM,2013,train
1537,25pM,2013,train
1538,25pM,2013,train
1539,25pM,2013,train
1540,25pM,2013,train
1541,25pM,2013,train
1542,25pM,2013,validate
1543,25pM,2013,train
1544,25pM,2013,train
1545,25pM,2013,train
1546,25pM,2013,train
1547,25pM,2013,train
1548,25pM,2013,train
1549,25pM,2013,test
1550,25pM,2013,train
1551,25pM,2013,train
1552,25pM,2013,train
1553,25pM,2013,train
1554,25pM,2013,train
1555,25pM,2013,train
1556,25pM,2013,train
1557,25pM,2013,train
1558,25pM,2013,train
1559,25pM,2013,test
1560,25pM,2013,train
1561,25pM,2013,validate
1562,25pM,2013,train
1563,25pM,2013,train
1564,25pM,2013,train
1565,25pM,2013,train
1566,25pM,2013,validate
1567,25pM,2013,validate
1568,25pM,2013,train
1569,25pM,2013,train
1570,25pM,2013,train
1571,25pM,2013,test
1572,25pM,2013,train
1573,25pM,2013,train
1574,25pM,2013,train
1575,25pM,2013,train
1576,25pM,2013,train
1577,25pM,2013,train
1578,25pM,2013,train
1579,25pM,2013,validate
1580,25pM,2013,validate
1581,25pM,2013,train
1582,25pM,2013,train
1583,25pM,2013,train
1584,25pM,2013,validate
1585,25pM,2013,train
1586,25pM,2013,validate
1587,25pM,2013,train
1588,25pM,2013,train
1589,25pM,2013,test
1590,25pM,2013,train
1591,25pM,2013,train
1592,25pM,2013,train
1593,25pM,2013,train
1594,25pM,2013,train
1595,25pM,2013,train
1596,25pM,2013,train
1597,25pM,2013,train
1598,25pM,2013,test
1599,25pM,2013,train
1600,25pM,2013,test
1601,25pM,2013,train
1602,25pM,2013,train
1603,25pM,2013,train
1604,25pM,2013,train
1605,25pM,2013,test
1606,25pM,2013,train
1607,25pM,2013,validate
1608,25pM,2013,train
1609,25pM,2013,train
1610,25pM,2013,train
1611,25pM,2013,test
1612,25pM,2013,train
1613,25pM,2013,train
1614,25pM,2013,train
1615,25pM,2013,train
1616,25pM,2013,train
1617,25pM,2013,train
1618,25pM,2013,train
1619,25pM,2013,test
1620,25pM,2013,train
1621,25pM,2013,train
1622,25pM,2013,train
1623,25pM,2013,test
1624,25pM,2013,test
1625,25pM,2013,train
1626,25pM,2013,train
1627,25pM,2013,test
1628,25pM,2013,train
1629,25pM,2013,train
1630,25pM,2013,train
1631,25pM,2013,train
1632,25pM,2013,train
1633,25pM,2013,train
1634,25pM,2013,validate
1635,25pM,2013,train
1636,25pM,2013,train
1637,25pM,2013,test
1638,25pM,2013,train
1639,25pM,2013,train
1640,25pM,2013,train
1641,25pM,2013,validate
1642,25pM,2013,test
1643,25pM,2013,train
1644,25pM,2013,validate
1645,25pM,2013,train
1646,25pM,2013,validate
1647,25pM,2013,train
1648,25pM,2013,validate
1649,25pM,2013,train
1650,25pM,2013,train
1651,25pM,2013,train
1652,25pM,2013,test
1653,25pM,2013,train
1654,25pM,2013,train
1655,25pM,2013,validate
1656,25pM,2013,train
1657,25pM,2013,train
1658,25pM,2013,train
1659,25pM,2013,train
1660,25pM,2013,train
1661,25pM,2013,train
1662,25pM,2013,train
1663,25pM,2013,train
1664,25pM,2013,train
1665,25pM,2013,validate
1666,25pM,2013,train
1667,25pM,2013,train
1668,25pM,2013,train
1669,25pM,2013,train
1670,25pM,2013,train
1671,25pM,2013,train
1672,25pM,2013,train
1673,25pM,2013,test
1674,25pM,2013,train
1675,25pM,2013,train
1676,25pM,2013,train
1677,25pM,2013,train
1678,25pM,2013,validate
1679,25pM,2013,validate
1680,25pM,2013,train
1681,25pM,2013,train
1682,25pM,2013,train
1683,25pM,2013,train
1684,25pM,2013,train
1685,25pM,2013,train
1686,25pM,2013,train
1687,25pM,2013,validate
1688,25pM,2013,train
1689,25pM,2013,validate
1690,25pM,2013,train
1691,25pM,2013,train
1692,25pM,2013,train
1693,25pM,2013,train
1694,25pM,2013,train
1695,25pM,2013,train
1696,25pM,2013,train
1697,25pM,2013,train
1698,25pM,2013,train
1699,25pM,2013,train
1700,25pM,2013,train
1701,25pM,2013,train
1702,25pM,2013,train
1703,25pM,2013,train
1704,25pM,2013,train
1705,25pM,2013,train
1706,25pM,2013,train
1707,25pM,2013,train
1708,25pM,2013,train
1709,25pM,2013,test
1710,25pM,2013,train
1711,25pM,2013,train
1712,25pM,2013,train
1713,25pM,2013,train
1714,25pM,2013,train
1715,25pM,2013,validate
1716,25pM,2013,train
1717,25pM,2013,train
1718,25pM,2013,train
1719,25pM,2013,train
1720,25pM,2013,validate
1721,25pM,2013,train
1722,25pM,2013,train
1723,25pM,2013,test
1724,25pM,2013,train
1725,25pM,2013,train
1726,25pM,2013,train
1727,25pM,2013,train
1728,25pM,2013,train
1729,25pM,2013,train
1730,25pM,2013,train
1731,25pM,2013,train
1732,25pM,2013,train
1733,25pM,2013,test
1734,25pM,2013,test
1735,25pM,2013,validate
1736,25pM,2013,validate
1737,25pM,2013,train
1738,25pM,2013,train
1739,25pM,2013,train
1740,25pM,2013,train
1741,25pM,2013,test
1742,25pM,2013,train
1743,25pM,2013,train
1744,25pM,2013,train
1745,25pM,2013,train
1746,25pM,2013,train
1747,25pM,2013,train
1748,25pM,2013,train
1749,25pM,2013,train
1750,25pM,2013,train
1751,25pM,2013,train
1752,25pM,2013,train
1753,25pM,2013,train
1754,25pM,2013,train
1755,25pM,2013,train
1756,25pM,2013,train
1757,25pM,2013,train
1758,25pM,2013,train
1759,25pM,2013,train
1760,25pM,2013,test
1761,25pM,2013,train
1762,25pM,2013,train
1763,25pM,2013,validate
1764,25pM,2013,train
1765,25pM,2013,train
1766,25pM,2013,train
1767,25pM,2013,train
1768,25pM,2013,train
1769,25pM,2013,train
1770,25pM,2013,test
1771,25pM,2013,train
1772,25pM,2013,train
1773,25pM,2013,train
1774,25pM,2013,train
1775,25pM,2013,test
1776,25pM,2013,train
1777,25pM,2013,train
1778,25pM,2013,train
1779,25pM,2013,train
1780,25pM,2013,train
1781,25pM,2013,train
1782,25pM,2013,train
1783,25pM,2013,train
1784,25pM,2013,train
1785,25pM,2013,train
1786,25pM,2013,train
1787,25pM,2013,train
1788,25pM,2013,train
1789,25pM,2013,train
1790,25pM,2013,train
1791,25pM,2013,train
1792,25pM,2013,train
1793,25pM,2013,test
1794,25pM,2013,train
1795,25pM,2013,train
1796,25pM,2013,train
1797,25pM,2013,train
1798,25pM,2013,validate
1799,25pM,2013,train
1800,25pM,2013,validate
1801,25pM,2013,train
1802,25pM,2013,train
1803,25pM,2013,test
1804,25pM,2013,train
1805,25pM,2013,train
1806,25pM,2013,train
1807,25pM,2013,validate
1808,25pM,2013,train
1809,25pM,2013,validate
1810,25pM,2013,train
1811,25pM,2013,test
1812,25pM,2013,train
1813,25pM,2013,validate
1814,25pM,2013,validate
1815,25pM,2013,train
1816,25pM,2013,train
1817,25pM,2013,train
1818,25pM,2013,test
1819,25pM,2013,train
1820,25pM,2013,train
1821,25pM,2013,train
1822,25pM,2013,train
1823,25pM,2013,train
1824,25pM,2013,train
1825,25pM,2013,train
1826,25pM,2013,validate
1827,25pM,2013,test
1828,25pM,2013,train
1829,25pM,2013,test
1830,25pM,2013,validate
1831,25pM,2013,train
1832,25pM,2013,train
1833,25pM,2013,train
1834,25pM,2013,test
1835,25pM,2013,train
1836,25pM,2013,train
1837,25pM,2013,train
1838,25pM,2014,train
1839,25pM,2014,train
1840,25pM,2014,train
1841,25pM,2014,train
1842,25pM,2014,train
1843,25pM,2014,test
1844,25pM,2014,train
1845,25pM,2014,validate
1846,25pM,2014,train
1847,25pM,2014,train
1848,25pM,2014,validate
1849,25pM,2014,train
1850,25pM,2014,train
1851,25pM,2014,test
1852,25pM,2014,train
1853,25pM,2014,train
1854,25pM,2014,train
1855,25pM,2014,validate
1856,25pM,2014,train
1857,25pM,2014,train
1858,25pM,2014,train
1859,25pM,2014,train
1860,25pM,2014,validate
1861,25pM,2014,train
1862,25pM,2014,train
1863,25pM,2014,train
1864,25pM,2014,train
1865,25pM,2014,train
1866,25pM,2014,train
1867,25pM,2014,train
1868,25pM,2014,validate
1869,25pM,2014,train
1870,25pM,2014,train
1871,25pM,2014,train
1872,25pM,2014,train
1873,25pM,2014,train
1874,25pM,2014,train
1875,25pM,2014,train
1876,25pM,2014,train
1877,25pM,2014,train
1878,25pM,2014,test
1879,25pM,2014,train
1880,25pM,2014,train
1881,25pM,2014,train
1882,25pM,2014,train
1883,25pM,2014,validate
1884,25pM,2014,train
1885,25pM,2014,test
1886,25pM,2014,train
1887,25pM,2014,train
1888,25pM,2014,train
1889,25pM,2014,train
1890,25pM,2014,test
1891,25pM,2014,train
1892,25pM,2014,train
1893,25pM,2014,train
1894,25pM,2014,test
1895,25pM,2014,train
1896,25pM,2014,validate
1897,25pM,2014,train
1898,25pM,2014,train
1899,25pM,2014,train
1900,25pM,2014,train
1901,25pM,2014,train
1902,25pM,2014,train
1903,25pM,2014,train
1904,25pM,2014,validate
1905,25pM,2014,train
1906,25pM,2014,test
1907,25pM,2014,train
1908,25pM,2014,train
1909,25pM,2014,test
1910,25pM,2014,test
1911,25pM,2014,train
1912,25pM,2014,train
1913,25pM,2014,train
1914,25pM,2014,train
1915,25pM,2014,train
1916,25pM,2014,train
1917,25pM,2014,train
1918,25pM,2014,validate
1919,25pM,2014,train
1920,25pM,2014,train
1921,25pM,2014,train
1922,25pM,2014,test
1923,25pM,2014,train
1924,25pM,2014,train
1925,25pM,2014,train
1926,25pM,2014,train
1927,25pM,2014,test
1928,25pM,2014,validate
1929,25pM,2014,train
1930,25pM,2014,train
1931,25pM,2014,train
1932,25pM,2014,train
1933,25pM,2014,train
1934,25pM,2014,train
1935,25pM,2014,test
1936,25pM,2014,train
1937,25pM,2014,train
1938,25pM,2014,train
1939,25pM,2014,validate
1940,25pM,2014,train
1941,25pM,2014,train
1942,25pM,2014,train
1943,25pM,2014,train
1944,25pM,2014,train
1945,25pM,2014,test
1946,25pM,2014,train
1947,25pM,2014,train
1948,25pM,2014,train
1949,25pM,2014,train
1950,25pM,2014,train
1951,25pM,2014,validate
1952,25pM,2014,train
1953,25pM,2014,train
1954,25pM,2014,train
1955,25pM,2014,validate
1956,25pM,2014,test
1957,25pM,2014,validate
1958,25pM,2014,train
1959,25pM,2014,train
1960,25pM,2014,train
1961,25pM,2014,train
1962,25pM,2014,train
1963,25pM,2014,validate
1964,25pM,2014,test
1965,25pM,2014,train
1966,25pM,2014,train
1967,25pM,2014,train
1968,25pM,2014,train
1969,25pM,2014,validate
1970,25pM,2014,test
1971,25pM,2014,test
1972,25pM,2014,train
1973,25pM,2014,train
1974,25pM,2014,train
1975,25pM,2014,train
1976,25pM,2014,train
1977,25pM,2014,train
1978,25pM,2014,train
1979,25pM,2014,train
1980,25pM,2014,train
1981,25pM,2014,train
1982,25pM,2014,train
1983,25pM,2014,train
1984,25pM,2014,train
1985,25pM,2014,test
1986,25pM,2014,train
1987,25pM,2014,train
1988,25pM,2014,train
1989,25pM,2014,train
1990,25pM,2014,train
1991,25pM,2014,train
1992,25pM,2014,train
1993,25pM,2014,train
1994,25pM,2014,train
1995,25pM,2014,train
1996,25pM,2014,train
1997,25pM,2014,train
1998,25pM,2014,train
1999,25pM,2014,test
2000,25pM,2014,train
2001,25pM,2014,train
2002,25pM,2014,validate
2003,25pM,2014,train
2004,25pM,2014,train
2005,25pM,2014,train
2006,25pM,2014,train
2007,25pM,2014,train
2008,25pM,2014,train
2009,25pM,2014,test
2010,25pM,2014,train
2011,25pM,2014,validate
2012,25pM,2014,test
2013,25pM,2014,train
2014,25pM,2014,train
2015,25pM,2014,train
2016,25pM,2014,validate
2017,25pM,2014,test
2018,25pM,2014,train
2019,25pM,2014,train
2020,25pM,2014,train
2021,25pM,2014,train
2022,25pM,2014,train
2023,25pM,2014,train
2024,25pM,2014,train
2025,25pM,2014,train
2026,25pM,2014,train
2027,25pM,2014,train
2028,25pM,2014,train
2029,25pM,2014,train
2030,25pM,2014,train
2031,25pM,2014,train
2032,25pM,2014,train
2033,25pM,2014,train
2034,25pM,2014,train
2035,25pM,2014,train
2036,25pM,2014,train
2037,25pM,2014,train
2038,25pM,2014,train
2039,25pM,2014,test
2040,25pM,2014,train
2041,25pM,2014,train
2042,25pM,2014,validate
2043,25pM,2014,train
2044,25pM,2014,train
2045,25pM,2014,validate
2046,25pM,2014,test
2047,25pM,2014,train
2048,25pM,2014,train
2049,25pM,2014,train
2050,25pM,2014,train
2051,25pM,2014,train
2052,25pM,2014,train
2053,25pM,2014,train
2054,25pM,2014,train
2055,25pM,2014,train
2056,25pM,2014,train
2057,25pM,2014,train
2058,25pM,2014,train
2059,25pM,2014,train
2060,25pM,2014,train
2061,25pM,2014,validate
2062,25pM,2014,validate
2063,25pM,2014,validate
2064,25pM,2014,train
2065,25pM,2014,train
2066,25pM,2014,train
2067,25pM,2014,train
2068,25pM,2014,test
2069,25pM,2014,validate
2070,25pM,2014,train
2071,25pM,2014,train
2072,25pM,2014,train
2073,25pM,2014,validate
2074,25pM,2014,train
2075,25pM,2014,test
2076,25pM,2014,train
2077,25pM,2014,train
2078,25pM,2014,train
2079,25pM,2014,train
2080,25pM,2014,validate
2081,25pM,2014,test
2082,25pM,2014,train
2083,25pM,2014,train
2084,25pM,2014,train
2085,25pM,2014,train
2086,25pM,2014,train
2087,25pM,2014,train
2088,25pM,2014,validate
2089,25pM,2014,train
2090,25pM,2014,train
2091,25pM,2014,train
2092,25pM,2014,train
2093,25pM,2014,train
2094,25pM,2014,train
2095,25pM,2014,train
2096,25pM,2014,validate
2097,25pM,2014,train
2098,25pM,2014,train
2099,25pM,2014,train
2100,25pM,2014,train
2101,25pM,2014,train
2102,25pM,2014,train
2103,25pM,2014,train
2104,25pM,2014,train
2105,25pM,2014,test
2106,25pM,2014,train
2107,25pM,2014,train
2108,25pM,2014,train
2109,25pM,2014,train
2110,25pM,2014,train
2111,25pM,2014,train
2112,25pM,2014,train
2113,25pM,2014,test
2114,25pM,2014,train
2115,25pM,2014,train
2116,25pM,2014,train
2117,25pM,2014,train
2118,25pM,2014,validate
2119,25pM,2014,train
2120,25pM,2014,train
2121,25pM,2014,train
2122,25pM,2014,train
2123,25pM,2014,train
2124,25pM,2014,train
2125,25pM,2014,train
2126,25pM,2014,train
2127,25pM,2014,train
2128,25pM,2014,test
2129,25pM,2014,train
2130,25pM,2014,train
2131,25pM,2014,train
2132,25pM,2014,validate
2133,25pM,2014,train
2134,25pM,2014,train
2135,25pM,2014,train
2136,25pM,2014,validate
2137,25pM,2014,train
2138,25pM,2014,train
2139,25pM,2014,train
2140,25pM,2014,train
2141,25pM,2014,validate
2142,25pM,2014,validate
2143,25pM,2014,train
2144,25pM,2014,train
2145,25pM,2014,test
2146,25pM,2014,train
2147,25pM,2014,train
2148,25pM,2014,train
2149,25pM,2014,train
2150,25pM,2014,train
2151,25pM,2014,train
2152,25pM,2014,train
2153,25pM,2014,validate
2154,25pM,2014,train
2155,25pM,2014,train
2156,25pM,2014,train
2157,25pM,2014,train
2158,25pM,2014,train
2159,25pM,2014,train
2160,25pM,2014,train
2161,25pM,2014,train
2162,25pM,2014,train
2163,25pM,2014,train
2164,25pM,2014,test
2165,25pM,2014,train
2166,25pM,2014,train
2167,25pM,2014,train
2168,25pM,2014,train
2169,25pM,2014,train
2170,25pM,2014,train
2171,25pM,2014,train
2172,25pM,2014,train
2173,25pM,2014,validate
2174,25pM,2014,train
2175,25pM,2014,train
2176,25pM,2014,train
2177,25pM,2014,train
2178,25pM,2014,train
2179,25pM,2014,train
2180,25pM,2014,test
2181,25pM,2014,train
2182,25pM,2014,test
2183,25pM,2014,train
2184,25pM,2014,train
2185,25pM,2014,train
2186,25pM,2014,train
2187,25pM,2014,validate
2188,25pM,2014,train
2189,25pM,2014,train
2190,25pM,2014,test
2191,25pM,2014,train
2192,25pM,2014,train
2193,25pM,2014,train
2194,25pM,2014,train
2195,25pM,2014,train
2196,25pM,2014,train
2197,25pM,2014,train
2198,25pM,2014,train
2199,25pM,2014,train
2200,25pM,2014,train
2201,25pM,2014,test
2202,25pM,2014,train
2203,25pM,2014,train
2204,25pM,2014,train
2205,25pM,2014,train
2206,25pM,2014,train
2207,25pM,2014,train
2208,25pM,2014,train
2209,25pM,2014,test
2210,25pM,2014,train
2211,25pM,2014,train
2212,2.5pM,2013,train
2213,2.5pM,2013,train
2214,2.5pM,2013,train
2215,2.5pM,2013,train
2216,2.5pM,2013,train
2217,2.5pM,2013,train
2218,2.5pM,2013,train
2219,2.5pM,2013,train
2220,2.5pM,2013,train
2221,2.5pM,2013,train
2222,2.5pM,2013,train
2223,2.5pM,2013,train
2224,2.5pM,2013,test
2225,2.5pM,2013,validate
2226,2.5pM,2013,train
2227,2.5pM,2013,train
2228,2.5pM,2013,train
2229,2.5pM,2013,train
2230,2.5pM,2013,train
2231,2.5pM,2013,train
2232,2.5pM,2013,train
2233,2.5pM,2013,train
2234,2.5pM,2013,train
2235,2.5pM,2013,train
2236,2.5pM,2013,test
2237,2.5pM,2013,train
2238,2.5pM,2013,train
2239,2.5pM,2013,train
2240,2.5pM,2013,train
2241,2.5pM,2013,test
2242,2.5pM,2013,train
2243,2.5pM,2013,train
2244,2.5pM,2013,train
2245,2.5pM,2013,train
2246,2.5pM,2013,train
2247,2.5pM,2013,train
2248,2.5pM,2013,train
2249,2.5pM,2013,train
2250,2.5pM,2013,train
2251,2.5pM,2013,train
2252,2.5pM,2013,test
2253,2.5pM,2013,train
2254,2.5pM,2013,train
2255,2.5pM,2013,test
2256,2.5pM,2013,train
2257,2.5pM,2013,train
2258,2.5pM,2013,train
2259,2.5pM,2013,test
2260,2.5pM,2013,train
2261,2.5pM,2013,train
2262,2.5pM,2013,validate
2263,2.5pM,2013,train
2264,2.5pM,2013,train
2265,2.5pM,2013,train
2266,2.5pM,2013,train
2267,2.5pM,2013,train
2268,2.5pM,2013,train
2269,2.5pM,2013,train
2270,2.5pM,2013,train
2271,2.5pM,2013,train
2272,2.5pM,2013,train
2273,2.5pM,2013,train
2274,2.5pM,2013,test
2275,2.5pM,2013,train
2276,2.5pM,2013,train
2277,2.5pM,2013,validate
2278,2.5pM,2013,validate
2279,2.5pM,2013,train
2280,2.5pM,2013,validate
2281,2.5pM,2013,validate
2282,2.5pM,2013,test
2283,2.5pM,2013,train
2284,2.5pM,2013,test
2285,2.5pM,2013,train
2286,2.5pM,2013,train
2287,2.5pM,2013,test
2288,2.5pM,2013,train
2289,2.5pM,2013,validate
2290,2.5pM,2013,train
2291,2.5pM,2013,train
2292,2.5pM,2013,test
2293,2.5pM,2013,train
2294,2.5pM,2013,train
2295,2.5pM,2013,train
2296,2.5pM,2013,train
2297,2.5pM,2013,validate
2298,2.5pM,2013,train
2299,2.5pM,2013,train
2300,2.5pM,2013,train
2301,2.5pM,2013,train
2302,2.5pM,2013,train
2303,2.5pM,2013,validate
2304,2.5pM,2013,validate
2305,2.5pM,2013,train
2306,2.5pM,2013,train
2307,2.5pM,2013,validate
2308,2.5pM,2013,train
2309,2.5pM,2013,train
2310,2.5pM,2013,test
2311,2.5pM,2013,validate
2312,2.5pM,2013,train
2313,2.5pM,2013,validate
2314,2.5pM,2013,train
2315,2.5pM,2013,train
2316,2.5pM,2013,train
2317,2.5pM,2013,validate
2318,2.5pM,2013,train
2319,2.5pM,2013,train
2320,2.5pM,2013,train
2321,2.5pM,2013,test
2322,2.5pM,2013,train
2323,2.5pM,2013,train
2324,2.5pM,2013,train
2325,2.5pM,2013,validate
2326,2.5pM,2013,train
2327,2.5pM,2013,train
2328,2.5pM,2013,train
2329,2.5pM,2013,train
2330,2.5pM,2013,train
2331,2.5pM,2013,train
2332,2.5pM,2013,train
2333,2.5pM,2013,test
2334,2.5pM,2013,train
2335,2.5pM,2013,train
2336,2.5pM,2013,train
2337,2.5pM,2013,test
2338,2.5pM,2013,train
2339,2.5pM,2013,train
2340,2.5pM,2013,validate
2341,2.5pM,2013,train
2342,2.5pM,2013,train
2343,2.5pM,2013,train
2344,2.5pM,2013,train
2345,2.5pM,2013,train
2346,2.5pM,2013,train
2347,2.5pM,2013,train
2348,2.5pM,2013,train
2349,2.5pM,2013,train
2350,2.5pM,2013,train
2351,2.5pM,2013,train
2352,2.5pM,2013,train
2353,2.5pM,2013,train
2354,2.5pM,2013,train
2355,2.5pM,2013,train
2356,2.5pM,2013,train
2357,2.5pM,2013,train
2358,2.5pM,2013,train
2359,2.5pM,2013,train
2360,2.5pM,2013,train
2361,2.5pM,2013,train
2362,2.5pM,2013,train
2363,2.5pM,2013,train
2364,2.5pM,2013,train
2365,2.5pM,2013,train
2366,2.5pM,2013,train
2367,2.5pM,2013,test
